filename,status,REF_size_MB,REF_size_bytes,REF_duration_s,REF_fps,REF_width,REF_height,REF_codec,REF_pix_fmt,REF_bitrate_kbps,REF_nb_frames_meta,GEN_size_MB,GEN_size_bytes,GEN_duration_s,GEN_fps,GEN_width,GEN_height,GEN_codec,GEN_pix_fmt,GEN_bitrate_kbps,GEN_nb_frames_meta,REF_md5,GEN_md5,md5_identical,delta_duration_s,delta_fps,delta_width_px,delta_height_px,delta_size_bytes,dur_match,fps_match,dim_match,REF_mean_B,REF_std_B,GEN_mean_B,GEN_std_B,delta_mean_B,REF_mean_G,REF_std_G,GEN_mean_G,GEN_std_G,delta_mean_G,REF_mean_R,REF_std_R,GEN_mean_R,GEN_std_R,delta_mean_R,mae_overall,psnr_dB,mae_B,mae_G,mae_R
02-0022-C-D_LRnHCC_552_360.mp4,both,0.379,379354,10.076923,26.0,552,360,av1,yuv420p,301.2,0,0.33,329868,10.076923,26.0,552,360,av1,yuv420p,261.9,262,d2aa28d9c40f7bb35896cc797fafe05e,38a2d122db215f2483c93de081d16094,False,0.0,0.0,0,0,-49486,True,True,True,12.6,29.564,12.781,29.749,0.181,12.597,29.562,12.777,29.739,0.18,12.595,29.559,12.774,29.731,0.179,0.7835,41.74,0.785,0.7827,0.7828
02-0023-E-A_LRnHCC_552_360.mp4,both,0.417,416875,10.076923,26.0,552,360,av1,yuv420p,331.0,0,0.357,357413,10.076923,26.0,552,360,av1,yuv420p,283.7,262,06c52fffddd03b8a5091b090a359d2bd,af373296759ab36792f0b74a627bbb2e,False,0.0,0.0,0,0,-59462,True,True,True,10.458,27.317,10.598,27.491,0.14,10.455,27.314,10.595,27.48,0.14,10.454,27.31,10.592,27.47,0.138,0.7009,42.03,0.7024,0.7,0.7002
02-0025-T-S_LRnHCC_552_360.mp4,both,0.463,463156,9.857143,21.0,552,360,av1,yuv420p,375.9,0,0.41,409770,9.857143,21.0,552,360,av1,yuv420p,332.6,207,318646a9c25f077a1ca304ce27f17e14,bf49d991212b5d3c7cb39e2a4030e0a2,False,0.0,0.0,0,0,-53386,True,True,True,15.147,32.274,15.332,32.482,0.185,15.144,32.271,15.329,32.473,0.185,15.141,32.264,15.326,32.465,0.185,1.0189,40.26,1.0202,1.0184,1.0182
02-0033-D-S_HRHCCp_1036_720.mp4,both,1.401,1400730,10.173913,23.0,1036,720,av1,yuv420p,1101.4,0,1.14,1139737,10.173913,23.0,1036,720,av1,yuv420p,896.2,234,7f775d81a68df37362d5c2f2cc57fb46,34d2bb672217296db76d12de8e5a4cf1,False,0.0,0.0,0,0,-260993,True,True,True,13.522,29.585,13.972,30.38,0.45,12.281,27.153,12.236,27.15,-0.045,11.645,25.997,12.029,26.608,0.384,0.8008,41.51,0.8897,0.7186,0.7941
02-0049-R-C_HRHCCp_1036_720.mp4,both,0.917,916539,10.238095,21.0,1036,720,av1,yuv420p,716.2,0,0.69,689671,10.238095,21.0,1036,720,av1,yuv420p,538.9,215,45ecbf5483630bc6245a04fca462b318,c0f6cc0bd636d96a4ea7a6a6c8e1f7da,False,0.0,0.0,0,0,-226868,True,True,True,11.205,24.185,11.993,25.346,0.788,10.24,22.04,10.569,22.858,0.329,10.032,21.948,10.409,22.548,0.377,0.8781,41.47,1.0475,0.8587,0.7281
02-0064-C-P_HRHCCp_1036_720.mp4,both,0.989,989262,10.173913,23.0,1036,720,av1,yuv420p,777.9,0,0.797,796554,10.173913,23.0,1036,720,av1,yuv420p,626.4,234,b5259905a1cbb6dd91303fe76fa2168f,a11c4e0d1b5e528e35270b5b1a0c977d,False,0.0,0.0,0,0,-192708,True,True,True,10.917,25.277,11.383,26.008,0.466,10.008,23.35,9.946,23.321,-0.062,9.476,22.421,9.836,22.934,0.36,0.7544,42.08,0.8567,0.6715,0.735
03-0015-D-C_LRnHCC_700_480.mp4,both,0.845,845095,16.6,20.0,700,480,av1,yuv420p,407.3,0,0.813,812976,16.6,20.0,700,480,av1,yuv420p,391.8,332,734d0720e8b72414937ff291dd4cce6b,f686d566d32c7ab3da596a655c0e2a9a,False,0.0,0.0,0,0,-32119,True,True,True,23.1,40.663,23.545,41.156,0.445,23.483,40.6,23.091,40.316,-0.392,22.846,40.169,23.37,40.838,0.524,1.6496,35.54,1.6607,1.6415,1.6467
03-0022-A-P_HRHCCp_552_360.mp4,both,0.566,565965,10.038462,26.0,552,360,av1,yuv420p,451.0,0,0.491,491161,10.038462,26.0,552,360,av1,yuv420p,391.4,261,b47cc305710fabad230adcbe56dc90c2,01d838ff9d39d4a1a00af87cd0a656f7,False,0.0,0.0,0,0,-74804,True,True,True,34.666,53.277,34.868,53.49,0.202,34.664,53.277,34.864,53.486,0.2,34.663,53.276,34.862,53.483,0.199,1.1948,39.5,1.196,1.1943,1.1942
03-0029-S-M_LRnHCC_552_360.mp4,both,0.504,504134,10.038462,26.0,552,360,av1,yuv420p,401.8,0,0.46,459845,10.038462,26.0,552,360,av1,yuv420p,366.5,261,d3824f742156f5be5f7bf4c783dc68e9,20f94cee4883fb3358fdfd872d6ccbcc,False,0.0,0.0,0,0,-44289,True,True,True,34.252,51.905,34.447,52.102,0.195,34.25,51.904,34.443,52.098,0.193,34.248,51.903,34.44,52.094,0.192,1.1657,39.64,1.167,1.1651,1.1651
03-0038-D-E_HRHCCp_552_360.mp4,both,0.683,682559,9.961538,26.0,552,360,av1,yuv420p,548.2,0,0.597,596916,9.961538,26.0,552,360,av1,yuv420p,479.4,259,573d12b1593f12c6727035b5a83320d2,cbec1c7fc7f90afbaf41edc1ac6d4730,False,0.0,0.0,0,0,-85643,True,True,True,27.418,48.569,27.431,48.559,0.013,27.415,48.568,27.427,48.551,0.012,27.413,48.566,27.424,48.546,0.011,1.212,38.9,1.2135,1.2112,1.2112
